transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,unit_price,product_category,product_type
122,06/06/2023,18:55:47,2,1,Alkmaar,4.5,Chocolate,Hot chocolate
123,06/08/2023,13:28:10,1,1,Alkmaar,2.0,Coffee,Black coffee
124,06/09/2023,09:52:49,2,3,Eindhoven,6.3,Coffee,Organic blended coffee
125,06/11/2023,08:46:44,3,3,Eindhoven,3.5,Bakery,Pie
126,06/10/2023,14:48:12,2,1,Alkmaar,3.5,Tea,Herbal tea
127,06/11/2023,10:57:48,4,3,Eindhoven,3.0,Tea,Black tea
128,06/09/2023,11:30:27,1,2,Utrecht,3.5,Bakery,Pie
129,06/09/2023,16:41:31,1,2,Utrecht,3.15,Tea,Green tea
130,06/10/2023,17:04:31,4,2,Utrecht,4.25,Coffee,Syrup coffee
131,06/09/2023,09:06:33,2,2,Utrecht,4.5,Chocolate,Hot chocolate
132,06/10/2023,12:22:16,2,1,Alkmaar,3.75,Bakery,Sandwich
133,06/07/2023,09:25:03,1,2,Utrecht,3.5,Bakery,Pie
134,06/05/2023,08:21:06,2,2,Utrecht,6.3,Coffee,Organic blended coffee
135,06/05/2023,10:48:52,1,2,Utrecht,3.15,Tea,Green tea
136,06/07/2023,09:29:06,2,2,Utrecht,6.3,Coffee,Organic blended coffee
137,06/10/2023,11:16:46,6,,Alkmaar,4.5,Chocolate,Hot chocolate
138,06/07/2023,17:24:20,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
139,06/10/2023,11:02:55,2,3,Eindhoven,4.25,Coffee,Syrup coffee
140,06/10/2023,09:29:31,5,3,Eindhoven,3.5,Bakery,Pie
141,06/06/2023,08:40:56,1,3,Eindhoven,3.25,Tea,Chai tea
142,06/08/2023,12:36:46,4,1,Alkmaar,3.5,Bakery,Pie
143,06/09/2023,16:02:16,2,3,Eindhoven,6.3,Coffee,Organic blended coffee
144,06/06/2023,10:36:57,1,1,Alkmaar,3.25,Tea,Chai tea
145,06/07/2023,18:16:35,1,3,Eindhoven,4.25,Coffee,Syrup coffee
146,06/10/2023,14:41:49,6,1,Alkmaar,2.0,Coffee,Black coffee
147,06/07/2023,19:54:10,2,2,Utrecht,4.5,Chocolate,Hot chocolate
148,06/08/2023,15:27:39,4,1,Alkmaar,4.25,Coffee,Syrup coffee
149,06/06/2023,10:35:13,2,3,Eindhoven,3.5,Tea,Herbal tea
150,06/05/2023,11:47:44,2,2,Utrecht,3.5,Bakery,Pie
151,06/07/2023,09:42:09,3,2,Utrecht,3.5,Bakery,Pie
152,06/10/2023,16:25:17,4,2,Utrecht,4.5,Chocolate,Hot chocolate
153,06/06/2023,11:08:05,3,1,Alkmaar,3.5,Bakery,Pie
154,06/08/2023,13:34:14,2,2,Utrecht,3.5,Tea,Herbal tea
155,06/11/2023,10:14:31,2,2,Utrecht,3.0,Bakery,Scone
156,06/11/2023,09:15:32,1,2,Utrecht,4.5,Chocolate,Hot chocolate
157,06/09/2023,06:38:42,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
158,06/09/2023,08:54:31,1,2,Utrecht,3.5,Coffee,Milk coffee
159,06/06/2023,10:46:17,4,3,Eindhoven,3.15,Tea,Green tea
160,06/10/2023,11:18:31,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
161,06/10/2023,10:32:58,2,2,Utrecht,3.5,Tea,Herbal tea
162,06/10/2023,15:43:09,1,1,Alkmaar,6.3,Coffee,Organic blended coffee
163,06/06/2023,10:52:29,1,3,Eindhoven,4.25,Coffee,Syrup coffee
164,06/07/2023,10:38:07,1,2,Utrecht,3.5,Coffee,Milk coffee
165,06/09/2023,08:27:37,3,2,Utrecht,4.5,Chocolate,Hot chocolate
166,06/11/2023,08:38:07,1,2,Utrecht,3.0,Bakery,Scone
167,06/10/2023,18:26:49,1,1,Alkmaar,3.5,Bakery,Pie
168,06/07/2023,07:35:31,2,3,Eindhoven,3.5,Bakery,Pie
169,06/09/2023,16:14:07,1,2,Utrecht,3.15,Tea,Green tea
170,06/10/2023,08:01:01,1,1,Alkmaar,3.5,Coffee,Milk coffee
171,06/05/2023,18:30:15,1,3,Eindhoven,3.5,Coffee,Milk coffee
172,06/09/2023,12:48:11,1,1,Alkmaar,3.0,Tea,Black tea
173,06/09/2023,06:28:06,2,1,Alkmaar,3.75,Bakery,Sandwich
174,06/10/2023,12:39:43,2,1,Alkmaar,3.25,Tea,Chai tea
175,06/10/2023,17:28:21,6,2,Utrecht,3.0,Tea,Black tea
176,06/10/2023,13:15:27,6,2,Utrecht,3.15,Tea,Green tea
177,06/08/2023,17:06:14,3,3,Eindhoven,2.0,Coffee,Black coffee
178,06/08/2023,09:48:50,2,1,Alkmaar,3.5,Tea,Herbal tea
179,06/06/2023,12:53:44,3,2,Utrecht,4.5,Chocolate,Hot chocolate
180,06/11/2023,16:35:34,1,2,Utrecht,3.75,Bakery,Sandwich
181,06/07/2023,19:47:04,1,3,Eindhoven,3.0,Bakery,Scone
182,06/08/2023,11:16:13,2,2,Utrecht,4.5,Chocolate,Hot chocolate
183,06/06/2023,16:42:16,2,2,Utrecht,4.5,Chocolate,Hot chocolate
184,06/11/2023,16:05:49,3,2,Utrecht,2.0,Coffee,Black coffee
185,06/07/2023,13:22:14,1,2,Utrecht,3.5,Tea,Herbal tea
186,06/07/2023,08:42:21,2,3,Eindhoven,3.0,Bakery,Scone
187,06/09/2023,13:21:49,2,1,Alkmaar,4.5,Chocolate,Hot chocolate
188,06/07/2023,11:46:40,4,2,Utrecht,4.5,Chocolate,Hot chocolate
189,06/08/2023,12:43:17,1,1,Alkmaar,3.5,Bakery,Pie
190,06/11/2023,17:37:55,2,2,Utrecht,2.0,Coffee,Black coffee
191,06/10/2023,06:33:04,1,1,Alkmaar,6.3,Coffee,Organic blended coffee
192,06/09/2023,11:06:00,1,1,Alkmaar,3.5,Coffee,Milk coffee
193,06/11/2023,08:57:38,1,1,Alkmaar,3.5,Tea,Herbal tea
194,06/11/2023,08:33:19,2,2,Utrecht,3.5,Bakery,Pie
195,06/08/2023,08:05:40,2,2,Utrecht,3.75,Bakery,Sandwich
196,06/08/2023,11:13:34,2,1,Alkmaar,3.5,Tea,Herbal tea
197,06/08/2023,16:39:09,3,2,Utrecht,4.5,Chocolate,Hot chocolate
198,06/07/2023,17:43:01,2,2,Utrecht,3.75,Bakery,Sandwich
199,06/06/2023,08:40:17,2,1,Alkmaar,3.25,Tea,Chai tea
200,06/10/2023,10:06:19,1,2,Utrecht,3.5,Tea,Herbal tea
201,06/10/2023,08:15:26,4,2,Utrecht,4.5,Chocolate,Hot chocolate
202,06/06/2023,16:00:21,2,2,Utrecht,2.0,Coffee,Black coffee
203,06/09/2023,16:41:14,1,1,Alkmaar,3.5,Tea,Herbal tea
204,06/09/2023,06:38:05,1,3,Eindhoven,3.0,Bakery,Scone
205,06/10/2023,08:07:36,1,2,Utrecht,3.5,Bakery,Pie
206,06/10/2023,11:07:40,1,2,Utrecht,3.75,Bakery,Sandwich
207,06/08/2023,13:35:57,4,2,Utrecht,3.5,Bakery,Pie
208,06/11/2023,16:10:00,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
209,06/07/2023,16:33:58,1,2,Utrecht,2.0,Coffee,Black coffee
210,06/07/2023,17:28:28,1,1,Alkmaar,3.5,Bakery,Pie
211,06/10/2023,11:04:57,5,3,Eindhoven,3.15,Tea,Green tea
212,06/08/2023,16:05:16,2,2,Utrecht,6.3,Coffee,Organic blended coffee
213,06/05/2023,11:05:07,3,1,Alkmaar,3.75,Bakery,Sandwich
214,06/10/2023,15:29:35,1,2,Utrecht,3.5,Bakery,Pie
215,06/10/2023,19:24:35,2,2,Utrecht,3.25,Tea,Chai tea
216,06/06/2023,09:08:03,2,1,Alkmaar,3.5,Tea,Herbal tea
217,06/10/2023,17:34:54,2,1,Alkmaar,3.25,Tea,Chai tea
218,06/05/2023,18:14:16,2,2,Utrecht,3.0,Tea,Black tea
219,06/09/2023,10:59:21,2,3,Eindhoven,3.5,Coffee,Milk coffee
220,06/09/2023,11:32:26,2,1,Alkmaar,3.5,Bakery,Pie
221,06/10/2023,07:32:43,4,2,Utrecht,4.5,Chocolate,Hot chocolate
222,06/09/2023,18:49:12,1,1,Alkmaar,3.75,Bakery,Sandwich
223,06/10/2023,17:37:04,2,2,Utrecht,4.5,Chocolate,Hot chocolate
224,06/08/2023,11:38:08,4,1,Alkmaar,2.0,Coffee,Black coffee
225,06/11/2023,09:48:11,3,3,Eindhoven,3.0,Tea,Black tea
226,06/11/2023,13:16:52,4,,Alkmaar,3.5,Tea,Herbal tea
227,06/07/2023,14:45:04,1,2,Utrecht,4.25,Coffee,Syrup coffee
228,06/10/2023,10:08:58,2,3,Eindhoven,3.0,Tea,Black tea
229,06/05/2023,08:19:13,2,2,Utrecht,3.5,Tea,Herbal tea
230,06/09/2023,07:02:24,6,1,Alkmaar,3.5,Coffee,Milk coffee
231,06/10/2023,12:30:04,2,1,Alkmaar,4.25,Coffee,Syrup coffee
232,06/11/2023,11:30:01,1,2,Utrecht,3.75,Bakery,Sandwich
233,06/06/2023,19:14:56,1,3,Eindhoven,3.0,Bakery,Scone
234,06/11/2023,17:31:45,6,2,Utrecht,2.0,Coffee,Black coffee
235,06/10/2023,09:31:42,1,3,Eindhoven,4.25,Coffee,Syrup coffee
236,06/10/2023,08:37:18,1,1,Alkmaar,4.5,Chocolate,Hot chocolate
237,06/09/2023,08:26:36,,3,Eindhoven,4.5,Chocolate,Hot chocolate
238,06/10/2023,06:24:13,5,2,Utrecht,4.5,Chocolate,Hot chocolate
239,06/10/2023,11:12:18,5,1,Alkmaar,3.5,Tea,Herbal tea
240,06/11/2023,17:16:22,1,2,Utrecht,3.5,Bakery,Pie
241,06/08/2023,17:49:24,2,1,Alkmaar,3.75,Bakery,Sandwich
242,06/10/2023,10:36:19,1,3,Eindhoven,2.0,Coffee,Black coffee
243,06/09/2023,11:29:52,2,2,Utrecht,2.0,Coffee,Black coffee
244,06/05/2023,17:17:45,2,2,Utrecht,4.5,Chocolate,Hot chocolate
245,06/08/2023,16:44:22,1,3,Eindhoven,3.0,Tea,Black tea
246,06/11/2023,12:58:24,2,1,Alkmaar,3.5,Tea,Herbal tea
247,06/10/2023,09:48:05,2,3,Eindhoven,3.0,Bakery,Scone
248,06/10/2023,09:35:42,1,3,Eindhoven,3.15,Tea,Green tea
249,06/10/2023,11:58:04,1,1,Alkmaar,4.5,Chocolate,Hot chocolate
250,06/08/2023,10:59:49,1,2,Utrecht,3.0,Tea,Black tea
251,06/09/2023,07:17:35,5,1,Alkmaar,3.5,Coffee,Milk coffee
252,06/10/2023,16:57:48,2,2,Utrecht,4.5,Chocolate,Hot chocolate
253,06/07/2023,10:25:14,1,2,Utrecht,3.75,Bakery,Sandwich
254,06/05/2023,12:50:59,1,1,Alkmaar,3.0,Tea,Black tea
255,06/06/2023,15:43:19,2,1,Alkmaar,4.5,Chocolate,Hot chocolate
256,06/10/2023,08:56:17,1,2,Utrecht,3.5,Bakery,Pie
257,06/10/2023,11:17:50,2,2,Utrecht,4.5,Chocolate,Hot chocolate
258,06/09/2023,17:21:57,2,2,Utrecht,4.5,Chocolate,Hot chocolate
259,06/09/2023,11:18:05,1,1,Alkmaar,3.0,Bakery,Scone
260,06/10/2023,15:29:07,1,1,Alkmaar,3.5,Bakery,Pie
261,06/08/2023,08:42:48,4,1,Alkmaar,3.0,Tea,Black tea
262,06/07/2023,13:25:54,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
263,06/06/2023,11:09:46,1,2,Utrecht,4.25,Coffee,Syrup coffee
264,06/07/2023,10:59:02,1,2,Utrecht,3.5,Bakery,Pie
265,06/07/2023,19:10:47,2,2,Utrecht,3.5,Bakery,Pie
266,06/09/2023,14:46:13,,1,Alkmaar,4.5,Chocolate,Hot chocolate
267,06/07/2023,16:12:53,1,1,Alkmaar,3.25,Tea,Chai tea
268,06/08/2023,13:34:31,2,1,Alkmaar,4.5,Chocolate,Hot chocolate
269,06/07/2023,10:47:16,2,3,Eindhoven,4.25,Coffee,Syrup coffee
270,06/10/2023,14:34:42,3,1,Alkmaar,4.5,Chocolate,Hot chocolate
271,06/11/2023,10:12:41,2,1,Alkmaar,3.25,Tea,Chai tea
272,06/10/2023,17:12:02,1,2,Utrecht,4.25,Coffee,Syrup coffee
273,06/09/2023,09:37:22,1,3,Eindhoven,3.0,Bakery,Scone
274,06/11/2023,16:10:30,1,2,Utrecht,3.5,Bakery,Pie
275,06/10/2023,10:56:53,3,2,Utrecht,4.5,Chocolate,Hot chocolate
276,06/08/2023,08:27:19,2,1,Alkmaar,3.5,Bakery,Pie
277,06/07/2023,12:45:17,3,1,Alkmaar,3.5,Tea,Herbal tea
278,06/06/2023,10:01:20,1,2,Utrecht,3.5,Bakery,Pie
279,06/05/2023,08:54:12,1,2,Utrecht,4.5,Chocolate,Hot chocolate
280,06/10/2023,08:11:08,1,1,Alkmaar,3.5,Coffee,Milk coffee
281,06/08/2023,16:28:19,1,2,Utrecht,4.5,Chocolate,Hot chocolate
282,06/11/2023,11:33:52,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
283,06/09/2023,08:28:41,1,1,Alkmaar,3.5,Coffee,Milk coffee
284,06/11/2023,11:19:53,1,2,Utrecht,3.5,Coffee,Milk coffee
285,06/05/2023,15:50:16,1,2,Utrecht,3.25,Tea,Chai tea
286,06/11/2023,08:05:58,1,2,Utrecht,4.5,Chocolate,Hot chocolate
287,06/11/2023,09:49:30,1,3,Eindhoven,3.0,Tea,Black tea
288,06/09/2023,10:22:33,,3,Eindhoven,2.0,Coffee,Black coffee
289,06/10/2023,14:44:39,3,2,Utrecht,2.0,Coffee,Black coffee
290,06/08/2023,09:14:08,1,2,Utrecht,2.0,Coffee,Black coffee
291,06/10/2023,08:27:07,1,2,Utrecht,4.5,Chocolate,Hot chocolate
292,06/08/2023,10:29:35,1,2,Utrecht,6.3,Coffee,Organic blended coffee
293,06/09/2023,19:25:54,3,2,Utrecht,3.0,Bakery,Scone
294,06/10/2023,10:42:25,2,1,Alkmaar,6.3,Coffee,Organic blended coffee
295,06/07/2023,16:56:40,2,2,Utrecht,3.0,Bakery,Scone
296,06/09/2023,11:54:29,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
297,06/09/2023,17:54:20,3,3,Eindhoven,4.25,Coffee,Syrup coffee
298,06/08/2023,17:18:31,2,3,Eindhoven,3.5,Tea,Herbal tea
299,06/10/2023,13:21:29,1,3,Eindhoven,4.25,Coffee,Syrup coffee
300,06/07/2023,10:29:46,1,3,Eindhoven,3.5,Bakery,Pie
301,06/09/2023,07:33:01,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
302,06/10/2023,19:14:13,1,2,Utrecht,3.15,Tea,Green tea
303,06/11/2023,17:37:54,1,3,Eindhoven,4.5,Chocolate,Hot chocolate
304,06/10/2023,10:41:25,2,2,Utrecht,3.5,Coffee,Milk coffee
305,06/07/2023,07:44:00,1,2,Utrecht,3.75,Bakery,Sandwich
306,06/10/2023,08:17:26,1,1,Alkmaar,6.3,Coffee,Organic blended coffee
307,06/07/2023,17:07:59,2,2,Utrecht,3.5,Coffee,Milk coffee
308,06/05/2023,16:23:32,2,3,Eindhoven,3.5,Bakery,Pie
309,06/11/2023,06:13:20,6,2,Utrecht,3.0,Tea,Black tea
310,06/08/2023,12:22:59,2,1,Alkmaar,3.5,Tea,Herbal tea
311,06/08/2023,10:22:06,3,2,Utrecht,4.5,Chocolate,Hot chocolate
312,06/08/2023,19:37:33,2,2,Utrecht,6.3,Coffee,Organic blended coffee
313,06/06/2023,19:10:44,1,2,Utrecht,6.3,Coffee,Organic blended coffee
314,06/11/2023,14:41:10,2,1,Alkmaar,4.5,Chocolate,Hot chocolate
315,06/08/2023,06:15:50,2,3,Eindhoven,3.25,Tea,Chai tea
316,06/10/2023,10:12:20,1,2,Utrecht,3.25,Tea,Chai tea
317,06/06/2023,10:54:42,1,3,Eindhoven,3.5,Bakery,Pie
318,06/07/2023,06:56:38,2,1,Alkmaar,4.5,Chocolate,Hot chocolate
319,06/06/2023,08:18:05,1,2,Utrecht,3.0,Tea,Black tea
320,06/11/2023,16:43:44,3,3,Eindhoven,6.3,Coffee,Organic blended coffee
321,06/07/2023,11:53:03,1,2,Utrecht,4.5,Chocolate,Hot chocolate
322,06/07/2023,08:29:22,1,1,Alkmaar,4.5,Chocolate,Hot chocolate
323,06/06/2023,06:06:42,1,2,Utrecht,3.75,Bakery,Sandwich
324,06/07/2023,17:46:36,1,3,Eindhoven,3.25,Tea,Chai tea
325,06/08/2023,19:44:52,2,2,Utrecht,4.5,Chocolate,Hot chocolate
326,06/07/2023,12:28:06,4,3,Eindhoven,6.3,Coffee,Organic blended coffee
327,06/08/2023,10:53:45,1,1,Alkmaar,2.0,Coffee,Black coffee
328,06/05/2023,19:24:02,4,2,Utrecht,3.5,Bakery,Pie
329,06/09/2023,09:07:39,2,3,Eindhoven,2.0,Coffee,Black coffee
330,06/10/2023,09:24:06,1,2,Utrecht,3.5,Bakery,Pie
331,06/11/2023,10:56:09,2,3,Eindhoven,3.15,Tea,Green tea
332,06/07/2023,15:39:41,,3,Eindhoven,3.0,Tea,Black tea
333,06/11/2023,09:43:21,1,2,Utrecht,3.0,Bakery,Scone
334,06/07/2023,11:51:33,2,2,Utrecht,3.75,Bakery,Sandwich
335,06/11/2023,08:27:20,2,2,Utrecht,4.5,Chocolate,Hot chocolate
336,06/05/2023,14:52:34,1,1,Alkmaar,3.0,Bakery,Scone
337,06/10/2023,17:40:24,1,2,Utrecht,3.5,Bakery,Pie
338,06/10/2023,14:38:29,1,1,Alkmaar,3.0,Bakery,Scone
339,06/07/2023,10:15:04,4,3,Eindhoven,3.5,Coffee,Milk coffee
340,06/09/2023,10:42:56,1,3,Eindhoven,3.25,Tea,Chai tea
